No_,"Manufacturer ID",Description,Price,"Retail Price Incl_ GST",AvailableQty,Rocklea,Sydney,"Net Weight","Brand Code","Product Group Code","Minor Category 1","Minor Category 2","Vendor Name","Vendor URL","Item URL",Warranty,Dimension,"Item Description",Image
II12932,AT-VCR-448,"ASO ACC CARDREADER AT-VCR-448",5.25,13,11,11,0,0.01,ASO,ACC,ACC-CARDREADER,#,Astrotek,www.astrotek.com,,"1 Year","24 x 18 x 2","Astrotek AT-VCR-448, External 85-in-1 USB Card Reader, SD, SDHC, MS, MMC,XD,CF,M2, T-Flash, Compact Flash card, Black, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II12932/full/AST-ACC-CARDREADER-AT-VCR-448.jpg
II02794,CR2032,"GNR ACC CMOS-BATTERY",2.50,4.29,6,6,0,0.038,GNR,ACC,ACC-OTHER,#,,,,,"7 x 3 x 1","Generic CMOS Battery 3V for Motherboard CR2032 Computer System (Also suitable for all sorts of electronic equipment such as calculators and digital scales)",https://images.auscomp.au//uploads/images/II02794/full/GNR-ACC-CMOS-BATTERY.jpg
II12876,AT-V-113,"ASO ACC CARDREADER AT-V-113",11.00,22,1,1,0,0.15,ASO,ACC,ACC-CARDREADER,#,Astrotek,www.astrotek.com,,"1 Year","24 x 12 x 4","Astrotek AT-V-113, Internal 3.5"" Internal Multi Card Reader, 1xUSB2.0, CF MS SD Flash Memory Card, Black, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II12876/full/0/0FMA-V113.jpg
II13862,"A CLEAN-AIR","GNR ACC COMPRESSED-AIR",12.75,25,5,1,0,0.225,GNR,ACC,ACC-TOOL,#,,,,,"8 x 8 x 20","Besta A CLEAN-AIR, Compressed Air Cleaner 400ml",https://images.auscomp.au//uploads/images/II13862/full/GNR-ACC-COMPRESSED-AIR.jpg
II18038,SNA-BR2/35,"KNG ACC SSD-MOUNTING-BKT-METAL",4.50,17.27,7,7,0,0.075,KNG,ACC,ACC-STORAGE,#,Kingston,,,,"11 x 12 x 1","Kingston SNA-BR2/35, 2.5 to 3.5"" Brackets and Screws for Kingston SSD, Metal, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/18643222/18643222-2193.jpg
II18941,MLW221,"KNG ACC WIFI-FLASH-RDR-MLW221",51.00,59,1,1,0,0.15,KNG,ACC,ACC-CARDREADER,#,Kingston,www.kingston.com,http://www.kingston.com/en/support/technical/products?model=mlw221,"1 Year","7 x 6 x 14","Kingston MLW221, MobileLite Wireless Flash Reader WI-FI  , Input: USB and SD (SDHC, SDXC and microSD (with included adapter) ),Wi-Fi 802.11g/n with WPA2, Battery built-in Li-Polymer 1800 mAh 3.7v, 1 Year Warranty ",https://images.auscomp.au//uploads/icecatimages/18365772/18365772-1711.jpg
II20278,"SNT-3051 SS","GNR ACC TRAY-SNT3051SS",27.00,49.5,1,1,0,1.9,GNR,ACC,ACC-OTHER,#,"PC Case Gear",,,,,"Procase SNT-3051 SS Tray",https://images.auscomp.au/uploads/images/II20278/full/GNR-ACC-TRAY-SNT3051SS.jpg
II25743,HO-TBL-PCTCBK-00,"LUX ACC TAB-CLIP-MOBILE-HOLDER",15.55,31,8,8,0,0.235,LUX,ACC,ACC-MOBILE,#,LUXA2,http://www.luxa2.com,http://www.luxa2.com/Holder_Solution/135/Tab_Clip_Universal_Car_Desk_Mount_Holder/product.htm,"1 Year",,"Luxa2 HO-TBL-PCTCBK-00, Tab Clip Universal Car Desk Mount Holder, 360 degree rotation, 180 degree vertical adjustment, 6""-10"" screen size device, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/24636360/24636360-660.jpg
II28911,4XF0N03161,"LEN ACC THINKCENTRE-TINY-VESA-MOUNT-II",33.00,35.5,6,6,0,0.1,LEN,ACC,ACC-OTHER,#,Lenovo,www.lenovo.com,,,,"Lenovo 4XF0N03161, Tiny VESA Mount II - System mounting bracket - for ThinkCentre M600; M700; M700z; M710q; M715q; M800z; M900; M900x; M900z; ThinkStation P410",https://images.auscomp.au/uploads/images/II28911/full/36169054_3139954229.jpg
II20842,RC-HDMI-5,"8WR CAB HDMI-M-M-5M",6.90,19,10,10,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,"1 Year","27 x 19 x 5","8ware RC-HDMI-5 High Speed HDMI V1.3 Male to Male Cable, 5m, 1 Year warranty",https://images.auscomp.au/uploads/images/II20842/full/8WR-CAB-HDMI-M-M-5M.jpg
