Category,"Category Id","Manufacture Code","Product Name","Product Code","Manufacture Name","Short Description","Unit Measure",Weight,"Stock Qty",ExTax,IncTax,GTIN,RRP,Specification,Overview,Image
"  Microsoft Windows",2310,FQC-10528,"Microsoft FQC-10528 Windows 11 Pro 64Bit OEM",SWW11P-64,Microsoft,"Microsoft FQC-10528 Windows 11 Pro 64Bit OEM ",Unit,0.5,24,206,226.6,00889842905892,,,"
	Microsoft FQC-10528 Windows 11 Pro 64Bit OEM
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_4411046411634794506.jpg
"  Microsoft Windows",2310,FQC-10528-Email,"Microsoft FQC-10528 Windows 11 Pro 64Bit OEM Email Key Only",SWW11P-64EMAIL,Microsoft,"Microsoft FQC-10528 Windows 11 Pro 64Bit OEM Email Key Only.   For new installation only.   Not for upgrade from previous version.",none,0,0,206,226.6,00889842965674,,,"
	Microsoft FQC-10528 Windows 11 Pro 64Bit OEM Email Key Only

	Digital license by email.&nbsp; &nbsp; This license is for new system installation only.&nbsp; &nbsp;
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_9181962761635403701.jpg
"  Microsoft Windows",2310,HAJ-00090,"Microsoft HAJ-00090 Windows 11 Home retail box",SWW11-RETAIL,Microsoft,"Microsoft HAJ-00090 Windows 11 Home retail box",Unit,0.5,9,180,198,00889842965674,249.00,,"
	Microsoft HAJ-00090 Windows 11 Home retail box
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_4795817691649056742.jpg
"  Microsoft Windows",2310,HAV-00163,"Microsoft HAV-00163 Windows 11 Pro retail box",SWW11P-RETAIL,Microsoft,"Microsoft HAV-00163 Windows 11 Pro retail box",Unit,0.5,6,269,295.9,00889842966176,369.00,,"
	Microsoft HAV-00163 Windows 11 Pro retail box
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_6392197911649056878.jpg
"  Microsoft Windows",2310,KW9-00632,"Microsoft KW9-00632 Windows 11 Home 64Bit OEM",SWW11-64,Microsoft,"Microsoft KW9-00632 Windows 11 Home 64Bit OEM",Unit,0.5,59,175,192.5,00889842905267,,,"
	Microsoft KW9-00632 Windows 11 Home 64Bit OEM
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_6670401461634791769.jpg
" Microsoft Office",2320,"6GQ-01143 license","Microsoft 365 Family Office 6 Users 1 Year AU licence Email",LICM6GQ-01143,Microsoft,"Microsoft 365 Family Office 6 Users 1 Year licence by Email.  5 devices for each user with upto 1TB storage.  Australian license, always the latest version.  Suitable for renewal or new subscription.  Co-pilot.",none,0,3,129,141.9,00889842330465,179.00,"
	&nbsp;

	Please check Microsoft website for latest system requirement.
","
	Microsoft 365 Family Office 6 Users 1 Year AU licence Email

	Digital license delivery by email.&nbsp; &nbsp;Always the latest version and suitable for renewal or new subscription.&nbsp; &nbsp; Add the license to your own Microsoft account at www.office.com/setup.&nbsp; &nbsp; Manage your subscription/devices at any time by logging into your own Microsoft account at www.office.com.

	&nbsp;
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_5343315321741920081.jpg
" Microsoft Office",2320,6GQ-01895,"6GQ-01895 Microsoft 365 Family Office 6 Users 1 Year * Box *",SWOFF365-FAMI,Microsoft,"6GQ-01895 Microsoft 365 Family Office 6 Users 1 Year * Box *",Unit,0.2,0,135,148.5,196388208227,179.00,,"
	6GQ-01895 Microsoft 365 Family Office 6 Users 1 Year * Box *

	&nbsp;

	One convenient subscription for up to 6 people. Includes premium Office apps, up to 6TB of cloud storage &ndash; 1 TB per person &ndash; and advanced security for all your devices.

	Microsoft 365 Family
	Microsoft Corporation
	For PC, Mac, iPhone, iPad and Android phones and tablets*

	Up to 6 TB of cloud storage (1 TB per person)
	For one to six people

	Microsoft 365 Family includes up to 6 TB of cloud storage (1 TB per person), advanced security features, and innovative apps for you and your family, all in one plan.

	For one to six people to share
	Each person can use on up to 5 devices simultaneously
	Works on Windows, Mac, iPhone, iPad, and Android phones and tablets
	Up to 6 TB of cloud storage (1 TB per person)
	Word, Excel, PowerPoint, and OneNote with offline access and premium features
	Microsoft Defender* advanced security for your personal data and devices
	OneDrive ransomware protection for your files and photos
	Outlook ad-free secure email
	Microsoft Editor advanced spelling, grammar, and writing assistance
	Clipchamp* video editor with premium filters &amp; effects
	Additional features in the Microsoft Family Safety mobile app
	Premium, customizable templates
	Expanded content library of high-quality photos, icons, fonts, videos, and audio
	Contact support via chat or email to get help when you need it

	App availability varies by device/language. Features vary by platform.
	*App is available as a separate download.
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_439606471730959292.jpg
" Microsoft Office",2320,D86-05942,"Microsoft Visio Standard 2021 D86-05942 Email licence",LICMD86-05942,Microsoft,"Microsoft Visio Standard 2021 D86-05942 Email licence",none,0,0,415,456.5,,,,"
	Microsoft Visio Standard 2021 D86-05942 Email licence
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_722484491634793628.jpg
" Microsoft Office",2320,D87-07606,"Microsoft Visio Professional 2021 D87-07606",LICMD87-07606,Microsoft,"Microsoft Visio Professional 2021 D87-07606",none,0,0,795,874.5,,,"
	MICROSOFT VISIO PROFESSIONAL 2021 - (ESD) ELECTRONIC LICENSE
	&nbsp;

	
		
			
				
					
						Product Description
				
				
					
						Microsoft Visio Professional 2021 - licence - 1 PC
				
			
			
				
					
						Product Type
				
				
					
						Licence
				
			
			
				
					
						Category
				
				
					
						Office applications - projects / process
				
			
			
				
					
						Licence Qty
				
				
					
						1 PC
				
			
			
				
					
						Licensing Details
				
				
					
						National Retail, Click-to-Run - ESD
				
			
			
				
					
						Platform
				
				
					
						Windows
				
			
			
				
					
						Language
				
				
					
						All Languages
				
			
			
				
					
						Distribution Media
				
				
					
						Download
				
			
		
	


	&nbsp;
","
	Microsoft Visio Professional 2021 D87-07606
",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_8897502901659935207.jpg
" Microsoft Office",2320,EP2-06603,"Microsoft OFFICE Home & Business 2024 Email Licence ",LICMEP2-06603,Microsoft,"Microsoft OFFICE Home & Business 2024 Email Licence ",none,0,47,289,317.9,,,"
	Please see Microsoft&#39;s website for the latest system requirements.
","
	Microsoft OFFICE Home &amp; Business 2024 Email Licence

	This item is a digital license delivery by Email.&nbsp; &nbsp;There is no phsyical item.&nbsp; &nbsp; &nbsp;Download from www.office.com/setup.

	&nbsp;

	
		


	
		
			Office Home &amp; Business 2024
		
			
				
					Microsoft Corporation
			
		
		
			
				
					
						
							
								One-time purchase for 1 PC or Mac 
							
								Classic 2024 desktop versions of Word, Excel, PowerPoint, Outlook, and OneNote 
							
								Access to support resources 
							
								Compatible with Windows 11, Windows 10, or macOS* 
							
								Works with Microsoft Teams 
						
						*Go to aka.ms/systemrequirements for compatible versions of Windows 11, Windows 10, and macOS and for other feature requirements.
				
			
		
	

",https://www.compuworld.com.au/app/webroot/stuff/product_image/productImage_4911039961730094725.jpg
